id,content_type,text,category,severity,action,human_review_required,grey_case,reason,policy_version
TEX-0297,text,The profile impersonates a public figure without a parody label. Synthetic variation 16.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0298,text,A fake election result is presented as an official announcement. Synthetic variation 16.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0299,text,A repeated message tells users to click a suspicious payment link. Synthetic variation 16.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0300,text,The message provides an illegal download of copyrighted material. Synthetic variation 16.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0301,text,The instructions tell users to disable antivirus and install a trojan. Synthetic variation 16.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0302,text,The comment contains obfuscated abusive words directed at an individual. Synthetic variation 16.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0303,text,The content describes physical harm being directed at a child. Synthetic variation 16.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0304,text,A verified report corrects a previously circulated false claim. Synthetic variation 16.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0305,text,A post tells users to burn another community's religious book. Synthetic variation 17.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0306,text,A post says that a protected group is inferior. Synthetic variation 17.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0307,text,A post praises a banned terrorist organization and asks users to join. Synthetic variation 17.,Terrorism & Extremism,Critical,Flag and send for human review,True,True,"The content contains indicators of Terrorism & Extremism, but the final enforcement decision requires human review.",2026.08
TEX-0308,text,A person sends the direct threat: I will kill you tonight. Synthetic variation 17.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0309,text,The video tells viewers to try a dangerous stunt without safety equipment. Synthetic variation 17.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0310,text,The content contains explicit adult sexual imagery. Synthetic variation 17.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0311,text,A user repeatedly demands that another person send nude pictures. Synthetic variation 17.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0312,text,A user repeatedly tells another person that they are worthless. Synthetic variation 17.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0313,text,A private video was secretly recorded and shared without consent. Synthetic variation 17.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0314,text,A post offers illegal drugs for sale. Synthetic variation 17.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0315,text,A post exposes another person's Aadhaar card number without permission. Synthetic variation 17.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0316,text,An account impersonates a bank representative to deceive customers. Synthetic variation 17.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0317,text,A fabricated report presents a made-up public event as fact. Synthetic variation 17.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0318,text,URGENT! Claim your prize now by sending your OTP on WhatsApp. Synthetic variation 17.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0319,text,A post distributes a pirated movie download without authorization. Synthetic variation 17.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0320,text,A post provides a link to download credential-stealing malware. Synthetic variation 17.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0321,text,A user directly tells another person: you are a disgusting idiot. Synthetic variation 17.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0322,text,An adult asks a minor to keep their private conversation secret. Synthetic variation 17.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0323,text,A museum description discusses a classical nude sculpture. Synthetic variation 17.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0324,text,The message encourages people to destroy a religious symbol. Synthetic variation 18.,Religiously Offensive Content,High,Flag and send for human review,True,True,"The content contains indicators of Religiously Offensive Content, but the final enforcement decision requires human review.",2026.08
TEX-0325,text,The message calls for a religious group to be excluded from society. Synthetic variation 18.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0326,text,The message requests donations for a terrorist organization. Synthetic variation 18.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0327,text,The content graphically depicts a person being tortured. Synthetic variation 18.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0328,text,A post encourages users to jump from a roof as part of a challenge. Synthetic variation 18.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0329,text,The image description indicates visible genitalia outside an allowed context. Synthetic variation 18.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0330,text,The message contains an unwanted request for a sexual favour. Synthetic variation 18.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0331,text,Several accounts coordinate to publicly humiliate one individual. Synthetic variation 18.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0332,text,The content contains a leaked intimate video posted without consent. Synthetic variation 18.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0333,text,The message advertises an unapproved medicine as a guaranteed cure. Synthetic variation 18.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0334,text,The content publishes someone's credit card number and contact details. Synthetic variation 18.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0335,text,A fake customer-support profile pretends to represent a company. Synthetic variation 18.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0336,text,A manipulated headline makes a claim unsupported by the article. Synthetic variation 18.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0337,text,A fake banking message asks the recipient to share their password. Synthetic variation 18.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0338,text,The content offers counterfeit products using a protected trademark. Synthetic variation 18.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0339,text,The content distributes a ransomware payload intended to compromise devices. Synthetic variation 18.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0340,text,The message calls a targeted person a stupid loser and piece of trash. Synthetic variation 18.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0341,text,An account asks a child to send private personal images. Synthetic variation 18.,Child Exploitation,Critical,Flag and send for human review,True,True,"The content contains indicators of Child Exploitation, but the final enforcement decision requires human review.",2026.08
TEX-0342,text,A medical lesson contains a non-explicit anatomy illustration. Synthetic variation 18.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0343,text,A user posts denigrating abuse directed at a religious prophet. Synthetic variation 19.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0344,text,A user attacks people because of their race and nationality. Synthetic variation 19.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0345,text,The content distributes extremist recruitment propaganda. Synthetic variation 19.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0346,text,The image description contains visible internal organs after an attack. Synthetic variation 19.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0347,text,The content gives instructions to cause an explosion at home. Synthetic variation 19.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0348,text,A post promotes a website selling explicit pornographic material. Synthetic variation 19.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0349,text,A person sends sexually explicit messages after being asked to stop. Synthetic variation 19.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0350,text,A person threatens to share private messages to embarrass someone. Synthetic variation 19.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0351,text,A hidden-camera recording shows a person's private moment. Synthetic variation 19.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0352,text,A user advertises a gun for sale without a license. Synthetic variation 19.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0353,text,A user leaks another person's private email address and phone number. Synthetic variation 19.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0354,text,A user operates an account using another person's stolen identity. Synthetic variation 19.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0355,text,The post promotes a false medical claim as a confirmed cure. Synthetic variation 19.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0356,text,An unsolicited promotion promises guaranteed income and requests a fee. Synthetic variation 19.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0357,text,A user sells unauthorized copies of copyrighted software. Synthetic variation 19.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0358,text,A user shares a phishing kit for stealing account credentials. Synthetic variation 19.,Malicious Programs,Critical,Flag and send for human review,True,True,"The content contains indicators of Malicious Programs, but the final enforcement decision requires human review.",2026.08
TEX-0359,text,A user repeatedly describes another person as worthless and pathetic. Synthetic variation 19.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0360,text,A user asks a minor to move to a private app and not tell their parents. Synthetic variation 19.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0361,text,A news report discusses violence without showing graphic imagery. Synthetic variation 19.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0362,text,The content celebrates damage to a place of worship. Synthetic variation 20.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0363,text,The content describes an ethnic group as not human. Synthetic variation 20.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0364,text,A user provides instructions intended to support a terrorist attack. Synthetic variation 20.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0365,text,A user says they are going to stab a specific person. Synthetic variation 20.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0366,text,A user encourages another person to physically harm themselves. Synthetic variation 20.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0367,text,The content contains a morphed sexual image of an adult. Synthetic variation 20.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0368,text,The content threatens consequences unless a person agrees to sexual activity. Synthetic variation 20.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0369,text,A user repeatedly pressures someone to provide their phone number. Synthetic variation 20.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0370,text,A person reports that their private photograph was uploaded without consent. Synthetic variation 20.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0371,text,The content promotes an illegal foreign gambling website. Synthetic variation 20.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0372,text,The image contains an unredacted bank account statement. Synthetic variation 20.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0373,text,The profile impersonates a public figure without a parody label. Synthetic variation 20.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0374,text,A fake election result is presented as an official announcement. Synthetic variation 20.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0375,text,A repeated message tells users to click a suspicious payment link. Synthetic variation 20.,"Spam, Scam & Phishing",High,Flag and send for human review,True,True,"The content contains indicators of Spam, Scam & Phishing, but the final enforcement decision requires human review.",2026.08
TEX-0376,text,The message provides an illegal download of copyrighted material. Synthetic variation 20.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0377,text,The instructions tell users to disable antivirus and install a trojan. Synthetic variation 20.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0378,text,The comment contains obfuscated abusive words directed at an individual. Synthetic variation 20.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0379,text,The content describes physical harm being directed at a child. Synthetic variation 20.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0380,text,A video shows a person demonstrating a harmless hobby. Synthetic variation 20.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0381,text,A post tells users to burn another community's religious book. Synthetic variation 21.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0382,text,A post says that a protected group is inferior. Synthetic variation 21.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0383,text,A post praises a banned terrorist organization and asks users to join. Synthetic variation 21.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0384,text,A person sends the direct threat: I will kill you tonight. Synthetic variation 21.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0385,text,The video tells viewers to try a dangerous stunt without safety equipment. Synthetic variation 21.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0386,text,The content contains explicit adult sexual imagery. Synthetic variation 21.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0387,text,A user repeatedly demands that another person send nude pictures. Synthetic variation 21.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0388,text,A user repeatedly tells another person that they are worthless. Synthetic variation 21.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0389,text,A private video was secretly recorded and shared without consent. Synthetic variation 21.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0390,text,A post offers illegal drugs for sale. Synthetic variation 21.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0391,text,A post exposes another person's Aadhaar card number without permission. Synthetic variation 21.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0392,text,An account impersonates a bank representative to deceive customers. Synthetic variation 21.,Identity Theft & Impersonation,High,Flag and send for human review,True,True,"The content contains indicators of Identity Theft & Impersonation, but the final enforcement decision requires human review.",2026.08
TEX-0393,text,A fabricated report presents a made-up public event as fact. Synthetic variation 21.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0394,text,URGENT! Claim your prize now by sending your OTP on WhatsApp. Synthetic variation 21.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0395,text,A post distributes a pirated movie download without authorization. Synthetic variation 21.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0396,text,A post provides a link to download credential-stealing malware. Synthetic variation 21.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0397,text,A user directly tells another person: you are a disgusting idiot. Synthetic variation 21.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0398,text,An adult asks a minor to keep their private conversation secret. Synthetic variation 21.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0399,text,A user shares a photograph of a meal with friends. Synthetic variation 21.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0400,text,The message encourages people to destroy a religious symbol. Synthetic variation 22.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
